iter	Logloss
0	0.6663360644
1	0.645052202
2	0.62616992
3	0.609915465
4	0.5943790369
5	0.5822155927
6	0.5706994454
7	0.5591162201
8	0.5509022121
9	0.5433320652
10	0.5364795385
11	0.5302851741
12	0.5246176292
13	0.5189684917
14	0.5146991781
15	0.5103472939
16	0.5070222042
17	0.5035421707
18	0.5000900974
19	0.4974638725
20	0.4950078074
21	0.4927617375
22	0.4905512456
23	0.4874627363
24	0.4856545431
25	0.4840130415
26	0.4825334895
27	0.4811891528
28	0.4795080297
29	0.4783081002
30	0.4771309372
31	0.4760467517
32	0.475107981
33	0.4741398856
34	0.4730436066
35	0.4723005083
36	0.4714790169
37	0.4707420421
38	0.4699678957
39	0.4693566244
40	0.4686869503
41	0.4681036177
42	0.4675667544
43	0.4671263434
44	0.466194386
45	0.4657286484
46	0.4649647296
47	0.4644856854
48	0.4640261492
49	0.4634208587
50	0.4629792066
51	0.4623091065
52	0.4620188068
53	0.4617410201
54	0.4613921682
55	0.4610835411
56	0.4606723294
57	0.4603360512
58	0.4600045818
59	0.4597859635
60	0.4595849763
61	0.4593153067
62	0.4590410986
63	0.45817847
64	0.4578578098
65	0.4576140118
66	0.4572647859
67	0.4571036839
68	0.4569586087
69	0.4567026847
70	0.456542147
71	0.4561249826
72	0.4559666656
73	0.4557955609
74	0.4556253082
75	0.4552235456
76	0.4551272944
77	0.4548866966
78	0.4546678663
79	0.4545145268
80	0.4541802249
81	0.4539015841
82	0.4536281976
83	0.4534202911
84	0.4533109733
85	0.4531674051
86	0.4529928754
87	0.4528188495
88	0.4526652182
89	0.452452786
90	0.4522752443
91	0.4521064381
92	0.4518884987
93	0.4515580089
94	0.4514600386
95	0.4509067853
96	0.4507282814
97	0.4504692329
98	0.4503530304
99	0.4501768552
100	0.4499765102
101	0.4498826656
102	0.449552273
103	0.4491131162
104	0.4489795701
105	0.4487655704
106	0.4487053966
107	0.4486308394
108	0.4484363714
109	0.4483090462
110	0.4481033971
111	0.4477454875
112	0.4474629438
113	0.4472674574
114	0.4471137893
115	0.4469962981
116	0.4468767419
117	0.44660744
118	0.4465381998
119	0.4464789536
120	0.4462845029
121	0.4461813497
122	0.4458649427
123	0.4457520507
124	0.4456138406
125	0.4454873198
126	0.4453466382
127	0.4452470419
128	0.4451334255
129	0.4450117006
130	0.4449080046
131	0.4446489562
132	0.4443203043
133	0.4442213805
134	0.4440853845
135	0.4439779695
136	0.443929232
137	0.4437653406
138	0.4436541546
139	0.4435552762
140	0.4434532084
141	0.4433718942
142	0.4433003728
143	0.4431479458
144	0.4431071222
145	0.4428921559
146	0.4427777567
147	0.4426238723
148	0.4425695713
149	0.4424680614
150	0.4423631503
151	0.4422257705
152	0.4421580288
153	0.4421248855
154	0.4420359427
155	0.4419491795
156	0.4418561263
157	0.4417728833
158	0.4417032106
159	0.4415188448
160	0.4410558511
161	0.4407336492
162	0.4406914288
163	0.4404924676
164	0.4403769678
165	0.4403114575
166	0.4402582419
167	0.4401906127
168	0.4401155754
169	0.440014325
170	0.4399034612
171	0.439838059
172	0.4396817983
173	0.4395985358
174	0.4395157599
175	0.4393764773
176	0.4393275084
177	0.4392748312
178	0.4391512186
179	0.4390888155
180	0.4389642104
181	0.4387424352
182	0.4386749443
183	0.4386129628
184	0.4385698515
185	0.4385235984
186	0.4384976404
187	0.4384229124
188	0.4383113479
189	0.4382012192
190	0.4381046696
191	0.438052747
192	0.4379909213
193	0.4379310264
194	0.4377247027
195	0.437697616
196	0.4376710439
197	0.4375552889
198	0.4374817805
199	0.4373719199
200	0.4372801251
201	0.4370814904
202	0.4370040725
203	0.4369419008
204	0.436883952
205	0.4368475351
206	0.4368002916
207	0.4367444683
208	0.4366377777
209	0.436575647
210	0.4365545887
211	0.4365215817
212	0.4364981016
213	0.4364586488
214	0.4363926347
215	0.4363437113
216	0.4362837818
217	0.4361761116
218	0.4360934027
219	0.4358663471
220	0.4357761308
221	0.4355721661
222	0.4355528895
223	0.4355067207
224	0.4353936903
225	0.4353567155
226	0.4351797164
227	0.4351486187
228	0.4350769114
229	0.4350368359
230	0.4349210939
231	0.4348436825
232	0.4348175364
233	0.4346699313
234	0.4345947016
235	0.4345700388
236	0.4345327526
237	0.4344968654
238	0.4344514751
239	0.4343858761
240	0.434348257
241	0.4342917742
242	0.4342476163
243	0.4342125789
244	0.4341923401
245	0.4341509845
246	0.4339860769
247	0.4339129252
248	0.4338041047
249	0.4337610366
250	0.4337113153
251	0.4336730561
252	0.4336205497
253	0.4335724392
254	0.433531328
255	0.4334654177
256	0.4334161547
257	0.4333353053
258	0.4332892295
259	0.4332338798
260	0.4331815377
261	0.4330017213
262	0.4329700678
263	0.4329259273
264	0.4328342233
265	0.4327756431
266	0.4327341556
267	0.4327084073
268	0.4326442377
269	0.4325956363
270	0.4325332398
271	0.4324816696
272	0.4324330143
273	0.4323589565
274	0.4323110428
275	0.4322565104
276	0.4321960555
277	0.4321285754
278	0.4320774637
279	0.432057147
280	0.4320219518
281	0.4319516456
282	0.4319114598
283	0.4318786388
284	0.4318648608
285	0.4318212024
286	0.4317751353
287	0.4317282638
288	0.4316832648
289	0.4316390096
290	0.4314997595
291	0.4313722029
292	0.4313169634
293	0.4312977776
294	0.4311971348
295	0.4311668544
296	0.4310303914
297	0.4309914036
298	0.430952113
299	0.430920293
300	0.4308984563
301	0.4307158786
302	0.430620555
303	0.4305684832
304	0.4305149
305	0.4304846629
306	0.4304553663
307	0.4304165579
308	0.4303680539
309	0.430317567
310	0.4302670672
311	0.4302435396
312	0.4302108764
313	0.4301791689
314	0.4301322217
315	0.4300894477
316	0.4300707938
317	0.4300425675
318	0.4299919142
319	0.4299629701
320	0.4299258763
321	0.4298965906
322	0.4298724986
323	0.4298539117
324	0.4298211793
325	0.4297664004
326	0.4297068363
327	0.4296386643
328	0.4296076444
329	0.4295681938
330	0.4295217202
331	0.4293902758
332	0.4293612474
333	0.4292363244
334	0.4292140271
335	0.4291837381
336	0.4291539723
337	0.4291235556
338	0.4290830779
339	0.4290294126
340	0.4290026242
341	0.4289494216
342	0.4289364848
343	0.4288835675
344	0.42885567
345	0.4288357079
346	0.4287554012
347	0.4287361592
348	0.4287071869
349	0.4286922305
350	0.4286387749
351	0.4286049765
352	0.4285306247
353	0.4285031769
354	0.42844067
355	0.42832101
356	0.4282853823
357	0.4282369734
358	0.4282117657
359	0.4281804236
360	0.4281379112
361	0.4281179362
362	0.4280603507
363	0.4280102379
364	0.4279781196
365	0.4279118179
366	0.4278672881
367	0.4278385732
368	0.4278192425
369	0.427794411
370	0.4277640766
371	0.427741057
372	0.427719616
373	0.4276816941
374	0.4276421505
375	0.427610936
376	0.4275069525
377	0.4274759304
378	0.4274484329
379	0.427431885
380	0.4274125673
381	0.4273848794
382	0.4273453402
383	0.4272845458
384	0.4272663871
385	0.4272522329
386	0.4272254402
387	0.427207195
388	0.4271839441
389	0.427135905
390	0.427108628
391	0.4270900714
392	0.4270675103
393	0.4270287883
394	0.4270097647
395	0.4269787556
396	0.4269320592
397	0.4269106052
398	0.4268939276
399	0.4268788501
