iter	Passed	Remaining
0	254	101605
1	360	71799
2	476	63024
3	588	58271
4	692	54720
5	792	52063
6	888	49857
7	997	48859
8	1109	48184
9	1258	49064
10	1362	48192
11	1452	46980
12	1547	46071
13	1645	45373
14	1743	44747
15	1841	44189
16	1936	43629
17	2030	43087
18	2129	42708
19	2229	42356
20	2330	42061
21	2433	41810
22	2520	41309
23	2620	41052
24	2722	40839
25	2819	40564
26	2910	40209
27	3003	39905
28	3095	39597
29	3194	39403
30	3298	39260
31	3389	38979
32	3499	38916
33	3593	38682
34	3687	38457
35	3777	38197
36	3873	38005
37	3963	37760
38	4081	37778
39	4173	37560
40	4273	37418
41	4380	37334
42	4480	37202
43	4569	36967
44	4666	36813
45	4775	36748
46	4880	36656
47	4971	36460
48	5068	36307
49	5164	36153
50	5256	35973
51	5350	35808
52	5439	35616
53	5531	35442
54	5633	35337
55	5720	35137
56	5820	35022
57	5914	34873
58	6010	34738
59	6103	34584
60	6204	34478
61	6300	34349
62	6388	34175
63	6487	34059
64	6590	33968
65	6683	33820
66	6773	33667
67	6863	33509
68	6948	33331
69	7048	33230
70	7139	33082
71	7239	32978
72	7332	32845
73	7426	32715
74	7524	32604
75	7619	32484
76	7713	32355
77	7801	32208
78	7889	32059
79	7984	31936
80	8088	31854
81	8189	31758
82	8295	31684
83	8392	31573
84	8488	31458
85	8582	31336
86	8673	31203
87	8760	31059
88	8860	30960
89	8950	30828
90	9035	30682
91	9138	30595
92	9233	30479
93	9334	30387
94	9424	30257
95	9515	30132
96	9610	30020
97	9699	29890
98	9797	29789
99	9903	29711
100	10004	29616
101	10100	29509
102	10195	29397
103	10308	29339
104	10398	29215
105	10494	29106
106	10580	28971
107	10672	28856
108	10772	28758
109	10876	28674
110	10975	28576
111	11062	28447
112	11155	28333
113	11247	28217
114	11352	28135
115	11446	28023
116	11585	28022
117	11680	27914
118	11766	27785
119	11863	27681
120	11950	27554
121	12056	27471
122	12151	27364
123	12246	27257
124	12336	27139
125	12427	27024
126	12526	26926
127	12622	26823
128	12707	26695
129	12804	26594
130	12904	26498
131	13011	26418
132	13112	26324
133	13205	26214
134	13302	26113
135	13397	26006
136	13491	25899
137	13588	25798
138	13683	25693
139	13788	25606
140	13873	25484
141	13965	25373
142	14069	25286
143	14190	25227
144	14286	25124
145	14374	25007
146	14464	24894
147	14553	24780
148	14638	24659
149	14742	24570
150	14837	24466
151	14942	24379
152	15039	24278
153	15128	24166
154	15222	24061
155	15310	23946
156	15405	23844
157	15493	23731
158	15581	23617
159	15669	23504
160	15770	23410
161	15865	23308
162	15950	23192
163	16060	23111
164	16163	23020
165	16263	22924
166	16363	22829
167	16449	22715
168	16554	22627
169	16644	22518
170	16736	22412
171	16832	22313
172	16936	22223
173	17034	22125
174	17136	22032
175	17228	21927
176	17318	21819
177	17418	21724
178	17523	21634
179	17613	21528
180	17714	21433
181	17813	21337
182	17900	21226
183	18003	21134
184	18091	21024
185	18192	20931
186	18292	20836
187	18382	20729
188	18488	20640
189	18582	20538
190	18680	20440
191	18765	20329
192	18858	20226
193	18950	20122
194	19071	20049
195	19164	19946
196	19260	19847
197	19352	19743
198	19436	19632
199	19541	19541
200	19647	19451
201	19761	19370
202	19869	19282
203	20000	19215
204	20093	19113
205	20209	19032
206	20298	18926
207	20393	18825
208	20486	18722
209	20579	18619
210	20679	18523
211	20762	18411
212	20855	18309
213	20945	18204
214	21036	18101
215	21132	18001
216	21216	17892
217	21315	17795
218	21404	17690
219	21493	17585
220	21589	17486
221	21688	17389
222	21775	17283
223	21881	17192
224	21982	17097
225	22073	16994
226	22165	16892
227	22262	16794
228	22367	16702
229	22468	16606
230	22569	16512
231	22668	16414
232	22770	16320
233	22870	16224
234	22967	16126
235	23049	16017
236	23146	15919
237	23242	15820
238	23348	15728
239	23448	15632
240	23550	15537
241	23654	15444
242	23745	15341
243	23839	15241
244	23970	15165
245	24107	15091
246	24213	14998
247	24315	14903
248	24413	14804
249	24499	14699
250	24589	14596
251	24687	14499
252	24775	14395
253	24875	14298
254	25004	14218
255	25103	14120
256	25197	14020
257	25308	13929
258	25412	13834
259	25503	13732
260	25590	13628
261	25682	13527
262	25781	13429
263	25863	13323
264	25961	13225
265	26057	13126
266	26160	13031
267	26256	12932
268	26353	12833
269	26446	12733
270	26557	12641
271	26659	12545
272	26767	12452
273	26864	12353
274	26956	12252
275	27063	12158
276	27194	12075
277	27296	11978
278	27386	11877
279	27479	11776
280	27581	11680
281	27684	11584
282	27782	11486
283	27880	11387
284	27970	11286
285	28074	11190
286	28164	11089
287	28257	10988
288	28356	10891
289	28457	10794
290	28563	10699
291	28674	10605
292	28777	10509
293	28918	10426
294	29040	10336
295	29138	10238
296	29266	10149
297	29379	10055
298	29498	9964
299	29601	9867
300	29680	9761
301	29788	9666
302	29893	9569
303	29998	9473
304	30094	9373
305	30187	9273
306	30282	9173
307	30370	9071
308	30465	8972
309	30555	8870
310	30656	8773
311	30748	8672
312	30854	8576
313	30939	8473
314	31037	8375
315	31139	8277
316	31225	8175
317	31326	8077
318	31417	7977
319	31519	7879
320	31618	7781
321	31711	7681
322	31808	7582
323	31891	7480
324	31998	7384
325	32107	7288
326	32195	7187
327	32299	7090
328	32416	6995
329	32505	6895
330	32609	6797
331	32707	6699
332	32796	6598
333	32899	6501
334	32982	6399
335	33070	6299
336	33167	6200
337	33273	6103
338	33366	6004
339	33480	5908
340	33566	5807
341	33655	5707
342	33747	5608
343	33832	5507
344	33940	5410
345	34021	5309
346	34124	5212
347	34221	5113
348	34318	5015
349	34406	4915
350	34512	4818
351	34612	4719
352	34706	4620
353	34805	4522
